log_rate_clusters log_rate_planets_per_cluster power_law_P power_law_r1 power_law_r2 sigma_hk sigma_incl sigma_incl_near_mmr sigma_log_radius_in_cluster sigma_logperiod_per_pl_in_cluster rate mult period pratio tdur logxi depth dratio dabove dbelow dratio_above dratio_below dratio_across dist_tot_weighted
-0.140944 0.470569 -0.481832 -0.422020 -5.411260 0.002033 1.365610 9.440250 0.235904 0.159563 0.000810 0.016884 0.036106 0.058102 0.030410 0.067455 0.038474 0.145547 0.124159 0.053285 0.126660 0.183085 0.210890 14.871700
0.101144 0.301154 -0.385439 -0.724352 -5.016470 0.005640 1.226000 9.423730 0.213522 0.150431 0.000012 0.017525 0.031070 0.058596 0.049163 0.050073 0.037512 0.112583 0.122557 0.059161 0.096503 0.133099 0.200495 12.876200
0.084036 0.226532 -0.427473 -0.585938 -5.026900 0.012258 1.478460 7.590030 0.217890 0.145351 0.000175 0.020909 0.038888 0.063986 0.043548 0.062506 0.040502 0.125872 0.137688 0.055141 0.111465 0.139853 0.205898 14.622100
0.134082 0.068338 -0.430852 -0.480549 -5.452740 0.019165 2.768750 0.886142 0.254128 0.152616 0.000045 0.017365 0.037733 0.055157 0.052889 0.070236 0.040041 0.126830 0.135024 0.067814 0.119140 0.119872 0.197346 14.306900
-0.035104 0.275356 -0.492630 -0.477142 -5.121760 0.017511 3.197600 0.257680 0.211877 0.171384 0.000375 0.025834 0.051943 0.051716 0.028726 0.059091 0.039786 0.124375 0.128679 0.040608 0.102772 0.128322 0.234166 15.016900
0.179371 -0.119349 -0.469211 -0.445795 -5.305630 0.017456 2.165000 0.554848 0.191208 0.164828 0.000525 0.020476 0.046069 0.058453 0.047221 0.051892 0.036940 0.120916 0.135572 0.054130 0.112944 0.098901 0.192571 15.003900
0.062836 0.135000 -0.471539 -0.506178 -5.068360 0.000465 1.045100 9.580340 0.198179 0.178047 0.000072 0.022064 0.047854 0.058989 0.038457 0.051322 0.042578 0.125013 0.123576 0.054344 0.091062 0.124893 0.214663 14.406300
0.116888 -0.084845 -0.506005 -0.354663 -5.765770 0.014228 2.431940 0.703969 0.190657 0.170380 0.000037 0.020587 0.045587 0.064778 0.043485 0.056158 0.046210 0.122449 0.147841 0.059159 0.095804 0.132184 0.197936 14.752700
0.061999 0.162556 -0.460032 -0.426392 -5.231810 0.007710 1.523220 6.551310 0.199208 0.146731 0.000285 0.026745 0.036530 0.066013 0.046401 0.068529 0.037556 0.120599 0.133373 0.046999 0.071932 0.179248 0.248728 15.449500
0.185501 0.303833 -0.381302 -0.996934 -4.328340 0.001634 1.254130 8.188260 0.208121 0.164827 0.000477 0.022778 0.032541 0.065822 0.049709 0.042089 0.045265 0.118348 0.118525 0.072176 0.111088 0.123188 0.178181 14.914000
-0.135008 0.436667 -0.544047 -0.441776 -5.893650 0.003586 1.355770 9.633570 0.238360 0.165732 0.000100 0.023630 0.051888 0.049537 0.033535 0.045906 0.040545 0.128593 0.129261 0.053891 0.125298 0.116139 0.201185 14.129300
-0.140463 0.766931 -0.151420 -0.606299 -5.105320 0.015860 4.871160 0.275271 0.249266 0.179712 0.000295 0.020047 0.031594 0.051226 0.054022 0.054551 0.038271 0.134760 0.129683 0.065039 0.130230 0.150407 0.177281 14.263600
0.032067 0.443246 -0.381495 -0.785181 -4.789100 0.002048 1.232580 9.072420 0.248428 0.165815 0.000225 0.027585 0.024346 0.063407 0.057491 0.048301 0.040901 0.122077 0.117106 0.068247 0.126139 0.132089 0.174038 14.821400
0.025436 0.289163 -0.447132 -0.505329 -5.547230 0.011003 1.627290 7.565380 0.241473 0.139619 0.000267 0.021334 0.033588 0.060985 0.053038 0.063424 0.043401 0.132217 0.135452 0.046721 0.116761 0.184966 0.157328 15.194500
0.026668 0.275737 -0.454300 -0.533740 -5.360750 0.011274 1.517880 8.453980 0.210199 0.151543 0.000275 0.021758 0.042367 0.056557 0.043408 0.070009 0.037041 0.133052 0.131799 0.047040 0.091588 0.135351 0.248531 15.014400
-0.427403 1.046560 -0.369814 -0.379606 -5.825410 0.019636 5.619850 0.221809 0.297911 0.165262 0.000287 0.014246 0.048055 0.056744 0.032398 0.070750 0.040448 0.143775 0.128770 0.060681 0.138683 0.154088 0.203328 14.435500
-0.113869 0.446566 -0.486334 -0.432337 -5.075110 0.004768 1.261410 9.387570 0.236324 0.163274 0.000137 0.022666 0.041027 0.061627 0.042549 0.049136 0.052381 0.139764 0.108010 0.063744 0.139167 0.115399 0.193407 15.226700
-0.122081 0.495971 -0.496011 -0.500764 -5.411480 0.003793 1.474700 9.167230 0.234806 0.150610 0.000142 0.026818 0.044586 0.065547 0.034184 0.058362 0.035767 0.119194 0.127682 0.042129 0.115017 0.128972 0.214404 14.627500
0.021708 0.343773 -0.374412 -0.476094 -5.099010 0.012972 1.504870 9.120840 0.235841 0.147385 0.000437 0.022026 0.032101 0.072176 0.049670 0.052718 0.040662 0.126456 0.128628 0.045246 0.117275 0.158730 0.197332 15.128800
0.253155 0.200137 -0.323943 -0.942442 -4.466200 0.003652 1.028950 9.399660 0.234481 0.158877 0.000420 0.023287 0.046176 0.057245 0.057617 0.045448 0.049494 0.140275 0.123058 0.063948 0.134478 0.155405 0.184388 16.363300
-0.040107 0.494099 -0.387456 -0.697644 -4.749210 0.024781 3.852340 0.219610 0.249347 0.161651 0.000552 0.018550 0.043924 0.058800 0.043688 0.060697 0.043680 0.134884 0.119273 0.078210 0.120565 0.159514 0.211220 15.464700
0.143366 0.261985 -0.315308 -0.649074 -5.429660 0.017275 3.497730 0.452741 0.264799 0.160276 0.000182 0.023040 0.034842 0.054774 0.046293 0.056860 0.038590 0.142983 0.126578 0.061621 0.145266 0.153673 0.193377 14.535600
-0.163479 0.509365 -0.508245 -0.460688 -5.565650 0.006458 1.437340 9.024870 0.240316 0.155616 0.000052 0.033649 0.042439 0.058104 0.032953 0.073633 0.039903 0.139446 0.130122 0.056092 0.140428 0.110078 0.234211 15.842300
0.179417 -0.147189 -0.484249 -0.377591 -5.393310 0.017152 2.185820 0.629635 0.193704 0.155835 0.000902 0.031719 0.047891 0.054651 0.043289 0.049586 0.033180 0.121495 0.125820 0.052403 0.093144 0.145320 0.190819 16.472000
0.073135 0.391101 -0.382686 -0.823368 -4.704740 0.003628 1.393060 9.815690 0.212273 0.164408 0.000372 0.015363 0.037630 0.061153 0.051458 0.068302 0.038499 0.120702 0.123118 0.070296 0.082711 0.135146 0.251508 14.568300
0.079273 0.056097 -0.528513 -0.446447 -5.300310 0.011748 2.743200 0.825692 0.224648 0.169938 0.000040 0.017077 0.047610 0.059905 0.039048 0.053670 0.035863 0.122672 0.130307 0.054992 0.108405 0.156097 0.201299 13.512900
0.090409 0.201432 -0.435112 -0.481684 -5.413500 0.011258 1.440860 7.358290 0.234735 0.142292 0.000405 0.020272 0.031441 0.063837 0.054448 0.058148 0.034506 0.138567 0.136004 0.065177 0.133455 0.144110 0.181267 14.847500
0.161728 0.308499 -0.373383 -0.942608 -4.440160 0.007688 1.364520 8.705130 0.193381 0.160173 0.000025 0.023369 0.034233 0.065075 0.043829 0.064793 0.052519 0.137210 0.130637 0.072091 0.094838 0.139755 0.233658 15.329100
-0.107954 0.468082 -0.445993 -0.449825 -5.549880 0.001979 1.526370 8.713250 0.236607 0.162931 0.000895 0.023985 0.036625 0.064940 0.049828 0.066378 0.035326 0.121527 0.129960 0.042379 0.106491 0.122956 0.216972 16.255100
-0.048704 0.396668 -0.459522 -0.529517 -5.163270 0.002977 1.322400 9.489460 0.225861 0.163583 0.000415 0.020823 0.034482 0.055195 0.044663 0.063914 0.041292 0.121757 0.123885 0.060663 0.104220 0.157801 0.237683 14.641300
0.078648 0.182035 -0.433514 -0.467748 -5.326920 0.011435 1.289310 8.357980 0.222886 0.148019 0.000102 0.020724 0.032970 0.063003 0.049273 0.066345 0.037614 0.113202 0.135013 0.050019 0.099063 0.158142 0.196232 14.121400
0.111647 0.193903 -0.386946 -0.648387 -5.156550 0.013404 3.090030 0.417351 0.200029 0.186292 0.001077 0.016677 0.043159 0.063580 0.042857 0.058659 0.046731 0.124337 0.139211 0.054562 0.094857 0.134957 0.194516 16.236900
0.055556 0.296684 -0.487365 -0.711375 -4.979310 0.002190 1.146660 9.858350 0.253350 0.160108 0.000662 0.019621 0.040929 0.061388 0.040542 0.051742 0.043093 0.144130 0.119605 0.064877 0.135037 0.152874 0.193381 15.436500
-0.070114 0.377553 -0.486015 -0.457722 -5.329040 0.004363 1.233930 9.924490 0.222987 0.163510 0.000530 0.020005 0.039895 0.051770 0.041763 0.051333 0.037270 0.129261 0.133706 0.038085 0.120468 0.133333 0.248168 14.357500
0.117508 0.128563 -0.463323 -0.589797 -4.879290 0.005455 1.251390 6.896530 0.205735 0.148862 0.000387 0.019118 0.037004 0.061732 0.038969 0.046163 0.038681 0.125887 0.123719 0.056955 0.101550 0.112850 0.219729 13.881600
0.066724 0.227261 -0.409499 -0.526885 -5.056810 0.006620 1.224770 8.728340 0.247227 0.161071 0.000117 0.025993 0.027579 0.066696 0.050213 0.055682 0.044675 0.129160 0.106836 0.047641 0.116917 0.146529 0.180685 14.937800
-0.181323 0.707408 -0.288516 -0.399846 -5.533190 0.018427 4.843770 0.234761 0.225022 0.175031 0.000850 0.016364 0.033562 0.062286 0.051622 0.059990 0.038567 0.133149 0.128988 0.035201 0.103277 0.141275 0.251365 15.382300
0.084036 0.226532 -0.427473 -0.585938 -5.026900 0.011909 1.478460 7.590030 0.217890 0.145351 0.000590 0.015747 0.032706 0.063191 0.049498 0.060515 0.041401 0.126359 0.135365 0.058192 0.126760 0.103686 0.200276 14.766800
0.302875 -0.199564 -0.418050 -0.693043 -4.757100 0.006325 2.335030 0.309508 0.213501 0.186879 0.000260 0.018024 0.041774 0.057727 0.041246 0.048333 0.042698 0.114448 0.119599 0.060830 0.105195 0.108974 0.164588 13.831400
0.097179 0.206510 -0.439980 -0.623505 -4.948630 0.003865 1.135670 8.785210 0.212660 0.166142 0.000435 0.021595 0.037907 0.057845 0.049811 0.056467 0.039358 0.116277 0.127733 0.056173 0.099595 0.129139 0.208051 14.819700
-0.086708 0.412106 -0.497607 -0.461026 -5.846730 0.002437 1.459880 9.213900 0.262976 0.162299 0.000185 0.020243 0.040476 0.068679 0.042702 0.065898 0.039226 0.142723 0.132966 0.045195 0.129327 0.174738 0.194288 15.077900
0.031566 0.226865 -0.454170 -0.394890 -5.812180 0.005524 1.505180 7.018640 0.230441 0.148015 0.000122 0.028636 0.030933 0.061966 0.054500 0.060216 0.041608 0.131010 0.139349 0.054867 0.114073 0.155353 0.222920 15.452500
-0.180703 0.415540 -0.540484 -0.242402 -5.582940 0.021303 3.679770 0.197062 0.218005 0.168356 0.000467 0.027835 0.051961 0.054508 0.033648 0.055161 0.044449 0.128472 0.121989 0.037233 0.113319 0.155648 0.204279 15.913800
-0.351894 1.282690 -0.123723 -0.577442 -4.389300 0.025642 5.975320 0.218640 0.260842 0.148740 0.000685 0.027245 0.029918 0.063461 0.062276 0.064617 0.048668 0.121545 0.136212 0.087875 0.109490 0.127957 0.240656 17.042600
-0.128002 0.682396 -0.222428 -0.464984 -5.396110 0.017136 4.793210 0.248444 0.233616 0.168631 0.000445 0.032440 0.033344 0.054409 0.052440 0.071252 0.036163 0.126415 0.137143 0.053533 0.110367 0.131181 0.248978 16.230900
-0.280264 0.946399 -0.222711 -0.603247 -5.421850 0.019515 5.375050 0.264183 0.257258 0.170117 0.000217 0.024677 0.041742 0.066944 0.041168 0.058488 0.046394 0.143401 0.132807 0.082400 0.133120 0.155932 0.249100 15.743500
0.047178 0.234512 -0.450455 -0.505950 -4.935860 0.003812 1.467490 6.704260 0.242143 0.150835 0.000180 0.015972 0.033266 0.065764 0.044683 0.068485 0.046487 0.140665 0.110989 0.064105 0.123553 0.178205 0.204251 14.675100
-0.029298 0.329990 -0.475917 -0.454926 -5.983250 0.005832 1.239810 8.228510 0.266314 0.162635 0.000072 0.027894 0.036544 0.074386 0.044667 0.053399 0.042383 0.138243 0.135402 0.046893 0.127461 0.174422 0.192084 15.466500
0.191788 0.268766 -0.376947 -0.921467 -4.620410 0.001840 1.120310 8.188260 0.208121 0.164827 0.000190 0.018630 0.038871 0.047267 0.040402 0.050430 0.049805 0.120786 0.129475 0.083435 0.098616 0.126220 0.202227 13.829000
0.058424 0.289643 -0.441108 -0.555962 -5.646180 0.003814 1.083270 8.104150 0.262145 0.148295 0.000215 0.020914 0.031229 0.077813 0.048308 0.052021 0.038976 0.134469 0.133927 0.050613 0.123907 0.154386 0.171255 14.680400
0.254867 -0.299541 -0.488232 -0.440325 -5.459300 0.007588 1.927340 0.808544 0.177839 0.159736 0.000325 0.020581 0.045820 0.071019 0.044333 0.047952 0.038118 0.126618 0.142154 0.050378 0.102033 0.103212 0.200268 14.917200
-0.147918 0.466156 -0.468490 -0.377586 -5.631760 0.006416 1.479590 9.280980 0.244295 0.166425 0.000452 0.024138 0.040095 0.050941 0.039647 0.055245 0.036687 0.136945 0.122203 0.055772 0.128524 0.142400 0.229902 14.768700
-0.059257 0.384491 -0.488340 -0.549697 -5.396960 0.008321 1.365310 8.985580 0.251776 0.161498 0.000492 0.023444 0.047119 0.053911 0.031640 0.060745 0.041641 0.131614 0.132828 0.036788 0.131266 0.111667 0.227592 15.202900
0.156385 0.167214 -0.388793 -0.595573 -5.401350 0.000842 1.057210 9.428460 0.201736 0.160714 0.000382 0.023296 0.038424 0.063397 0.064304 0.039884 0.046179 0.125970 0.147539 0.052433 0.078890 0.140302 0.217000 15.777900
0.055129 0.242566 -0.463673 -0.606574 -5.115980 0.007069 1.012130 9.095880 0.286268 0.158530 0.000737 0.021312 0.039992 0.050731 0.036198 0.058536 0.047994 0.151291 0.110127 0.052438 0.144461 0.171367 0.168182 15.799100
-0.355324 0.873763 -0.394386 -0.221952 -5.968390 0.022787 5.035870 0.152842 0.240489 0.164769 0.001097 0.026530 0.042108 0.064667 0.040303 0.066594 0.035019 0.122682 0.130774 0.047546 0.097923 0.173423 0.247917 16.774400
-0.131552 0.433872 -0.521688 -0.430326 -5.678700 0.003318 1.219690 9.583840 0.239603 0.165076 0.000247 0.026874 0.041571 0.053685 0.044559 0.055549 0.040057 0.131022 0.134066 0.045998 0.122521 0.173163 0.239572 15.138100
0.048646 0.363176 -0.379216 -0.603946 -5.190130 0.003936 1.332030 9.172320 0.222020 0.151199 0.000677 0.012837 0.032929 0.093634 0.062598 0.062402 0.038040 0.119587 0.136241 0.052390 0.108753 0.131606 0.217919 15.858800
-0.478360 1.004670 -0.406194 -0.377766 -4.992450 0.021838 5.659400 0.200240 0.224611 0.182770 0.000820 0.016640 0.042304 0.076036 0.038845 0.064736 0.041322 0.135070 0.124997 0.061826 0.120073 0.150620 0.260922 15.971300
-0.347972 0.875699 -0.395283 -0.515050 -5.242360 0.017094 5.320780 0.394692 0.254940 0.176538 0.000422 0.022275 0.044449 0.066502 0.038481 0.071900 0.041163 0.126224 0.130649 0.051491 0.125038 0.117293 0.235575 15.691900
0.238749 0.164733 -0.368989 -0.884044 -4.501140 0.009942 1.372280 6.298810 0.216437 0.152501 0.000147 0.019683 0.031201 0.061242 0.051078 0.058172 0.049674 0.133571 0.135861 0.071322 0.135352 0.131808 0.207927 14.798200
0.098498 0.193466 -0.420900 -0.556391 -5.180740 0.012514 1.517330 7.530760 0.223852 0.142820 0.000540 0.021011 0.038386 0.061019 0.049055 0.064525 0.038554 0.117560 0.127409 0.063338 0.117133 0.123357 0.171480 15.257300
0.041911 0.094516 -0.515087 -0.363610 -5.477680 0.010511 1.259750 7.523300 0.199317 0.142122 0.000065 0.022970 0.044054 0.064626 0.040670 0.052106 0.037252 0.121586 0.136601 0.054005 0.111992 0.150181 0.171286 14.233900
0.136516 0.126766 -0.397516 -0.551465 -5.416780 0.003859 1.064960 8.880410 0.239549 0.175007 0.000765 0.027019 0.033114 0.076259 0.057965 0.067821 0.042030 0.112333 0.138276 0.054392 0.099011 0.151385 0.166420 17.095000
0.084036 0.226532 -0.427473 -0.585938 -5.026900 0.008294 1.478460 7.590030 0.217890 0.145351 0.000347 0.021472 0.030828 0.066171 0.048223 0.055733 0.038504 0.108148 0.126962 0.067345 0.098609 0.127598 0.178032 14.246100
0.083579 0.252053 -0.506682 -0.839097 -4.383660 0.004033 1.271050 7.898220 0.222450 0.149300 0.000117 0.020096 0.052432 0.084803 0.038389 0.056523 0.046579 0.117828 0.130320 0.063225 0.095398 0.120513 0.206493 15.517800
