log_rate_clusters log_rate_planets_per_cluster power_law_P power_law_r1 power_law_r2 sigma_hk sigma_incl sigma_incl_near_mmr sigma_log_radius_in_cluster sigma_logperiod_per_pl_in_cluster rate mult period pratio tdur logxi depth dratio dabove dbelow dratio_above dratio_below dratio_across dist_tot_weighted
-0.140944 0.470569 -0.481832 -0.422020 -5.411260 0.002033 1.365610 9.440250 0.235904 0.159563 0.000002 0.016784 0.036370 0.048493 0.039802 0.053148 0.040861 0.110525 0.116586 0.041066 0.087885 0.143678 0.231193 12.575635
0.101144 0.301154 -0.385439 -0.724352 -5.016470 0.005640 1.226000 9.423730 0.213522 0.150431 0.000022 0.019157 0.027995 0.059113 0.051128 0.044192 0.036891 0.127057 0.126341 0.057865 0.109126 0.131579 0.208637 13.060102
0.084036 0.226532 -0.427473 -0.585938 -5.026900 0.012258 1.478460 7.590030 0.217890 0.145351 0.000020 0.016042 0.034042 0.061995 0.049957 0.057005 0.036132 0.115433 0.126003 0.056508 0.104581 0.129911 0.210598 13.198187
0.134082 0.068338 -0.430852 -0.480549 -5.452740 0.019165 2.768750 0.886142 0.254128 0.152616 0.000027 0.013165 0.037632 0.065671 0.047585 0.063940 0.031419 0.126721 0.122751 0.047364 0.125526 0.140288 0.180273 13.237721
-0.035104 0.275356 -0.492630 -0.477142 -5.121760 0.017511 3.197600 0.257680 0.211877 0.171384 0.000090 0.018378 0.054208 0.048472 0.034036 0.052939 0.034245 0.116840 0.125948 0.051728 0.105267 0.130624 0.200865 13.315188
0.179371 -0.119349 -0.469211 -0.445795 -5.305630 0.017456 2.165000 0.554848 0.191208 0.164828 0.000090 0.020537 0.048770 0.051802 0.035456 0.044314 0.035751 0.122369 0.133983 0.053507 0.108396 0.127315 0.196482 13.353168
0.062836 0.135000 -0.471539 -0.506178 -5.068360 0.000465 1.045100 9.580340 0.198179 0.178047 0.000077 0.019610 0.032455 0.051197 0.047732 0.051419 0.038609 0.128626 0.121479 0.035748 0.097819 0.139567 0.191158 13.392405
0.116888 -0.084845 -0.506005 -0.354663 -5.765770 0.014228 2.431940 0.703969 0.190657 0.170380 0.000065 0.016485 0.044054 0.051231 0.040573 0.050634 0.039576 0.133100 0.146758 0.037033 0.103894 0.108270 0.206434 13.418822
0.061999 0.162556 -0.460032 -0.426392 -5.231810 0.007710 1.523220 6.551310 0.199208 0.146731 0.000167 0.020235 0.032105 0.061689 0.045670 0.051618 0.032720 0.124582 0.130501 0.054640 0.107480 0.141165 0.209921 13.446533
0.185501 0.303833 -0.381302 -0.996934 -4.328340 0.001634 1.254130 8.188260 0.208121 0.164827 0.000055 0.017628 0.035731 0.050086 0.039737 0.051215 0.046687 0.134624 0.125837 0.070213 0.137638 0.110866 0.231906 13.456843
-0.135008 0.436667 -0.544047 -0.441776 -5.893650 0.003586 1.355770 9.633570 0.238360 0.165732 0.000057 0.017923 0.050614 0.053065 0.032488 0.063015 0.034121 0.122513 0.124893 0.040633 0.100032 0.173235 0.217361 13.480618
-0.140463 0.766931 -0.151420 -0.606299 -5.105320 0.015860 4.871160 0.275271 0.249266 0.179712 0.000040 0.016232 0.028804 0.058709 0.053117 0.055983 0.042352 0.124841 0.126449 0.055403 0.116137 0.148174 0.209855 13.501725
0.032067 0.443246 -0.381495 -0.785181 -4.789100 0.002048 1.232580 9.072420 0.248428 0.165815 0.000155 0.017545 0.030782 0.048730 0.051830 0.050814 0.043699 0.123771 0.123578 0.073909 0.118557 0.116228 0.199566 13.510400
0.025436 0.289163 -0.447132 -0.505329 -5.547230 0.011003 1.627290 7.565380 0.241473 0.139619 0.000090 0.020758 0.034386 0.065592 0.040455 0.060748 0.034898 0.111231 0.126301 0.046530 0.091145 0.153061 0.173290 13.515538
0.026668 0.275737 -0.454300 -0.533740 -5.360750 0.011274 1.517880 8.453980 0.210199 0.151543 0.000097 0.018914 0.038776 0.054834 0.040742 0.049260 0.045652 0.113304 0.144119 0.048452 0.097274 0.152005 0.203470 13.528422
-0.427403 1.046560 -0.369814 -0.379606 -5.825410 0.019636 5.619850 0.221809 0.297911 0.165262 0.000087 0.017328 0.042688 0.060926 0.033466 0.056300 0.036803 0.136568 0.123352 0.053446 0.124888 0.132099 0.232951 13.535034
-0.113869 0.446566 -0.486334 -0.432337 -5.075110 0.004768 1.261410 9.387570 0.236324 0.163274 0.000030 0.018820 0.037861 0.052754 0.043802 0.050610 0.041071 0.132777 0.129771 0.047320 0.129454 0.112457 0.206202 13.549596
-0.122081 0.495971 -0.496011 -0.500764 -5.411480 0.003793 1.474700 9.167230 0.234806 0.150610 0.000045 0.017038 0.035836 0.056390 0.046788 0.059068 0.039481 0.126032 0.130560 0.044825 0.117050 0.117694 0.227233 13.567694
0.021708 0.343773 -0.374412 -0.476094 -5.099010 0.012972 1.504870 9.120840 0.235841 0.147385 0.000042 0.015897 0.030131 0.061309 0.059515 0.050963 0.035369 0.136998 0.135179 0.053088 0.137967 0.168797 0.177084 13.580809
0.253155 0.200137 -0.323943 -0.942442 -4.466200 0.003652 1.028950 9.399660 0.234481 0.158877 0.000037 0.017917 0.031759 0.051777 0.057186 0.047494 0.045098 0.118930 0.123176 0.066642 0.100915 0.153788 0.183299 13.596990
-0.040107 0.494099 -0.387456 -0.697644 -4.749210 0.024781 3.852340 0.219610 0.249347 0.161651 0.000020 0.013451 0.048290 0.059583 0.032585 0.056630 0.045665 0.132154 0.127217 0.072667 0.121980 0.166667 0.204009 13.611087
0.143366 0.261985 -0.315308 -0.649074 -5.429660 0.017275 3.497730 0.452741 0.264799 0.160276 0.000010 0.019513 0.031322 0.061003 0.047024 0.056453 0.035413 0.139452 0.120268 0.049606 0.135081 0.160632 0.179833 13.621099
-0.163479 0.509365 -0.508245 -0.460688 -5.565650 0.006458 1.437340 9.024870 0.240316 0.155616 0.000150 0.018454 0.044646 0.048599 0.037651 0.058055 0.035081 0.135561 0.125412 0.038939 0.115669 0.172619 0.238423 13.634820
0.179417 -0.147189 -0.484249 -0.377591 -5.393310 0.017152 2.185820 0.629635 0.193704 0.155835 0.000140 0.017040 0.056785 0.052261 0.030980 0.054758 0.036923 0.120886 0.121792 0.036790 0.095384 0.121849 0.199463 13.644422
0.073135 0.391101 -0.382686 -0.823368 -4.704740 0.003628 1.393060 9.815690 0.212273 0.164408 0.000047 0.018400 0.029125 0.068969 0.046114 0.055852 0.042906 0.117549 0.119970 0.074210 0.106509 0.142802 0.184258 13.660169
0.079273 0.056097 -0.528513 -0.446447 -5.300310 0.011748 2.743200 0.825692 0.224648 0.169938 0.000015 0.016414 0.055914 0.049661 0.032094 0.063468 0.034811 0.135877 0.127103 0.058193 0.128623 0.131877 0.187829 13.675488
0.090409 0.201432 -0.435112 -0.481684 -5.413500 0.011258 1.440860 7.358290 0.234735 0.142292 0.000040 0.018556 0.033575 0.063842 0.043353 0.052414 0.036658 0.146502 0.129455 0.058212 0.134253 0.160976 0.220639 13.683105
0.161728 0.308499 -0.373383 -0.942608 -4.440160 0.007688 1.364520 8.705130 0.193381 0.160173 0.000030 0.016594 0.038421 0.051284 0.040721 0.057411 0.048947 0.127484 0.123866 0.081650 0.100789 0.125170 0.210007 13.695866
